claim_id,paper_location,claim_text,claim_type,result_source,result_key,code_source,test_source,status,issue,recommended_fix
C21,"table6_audit_validity.tex:11; results.tex:37","E55 decision-path audit passed","audit/validity","audit/analysis/results/e55_decision_path_audit.json; e56_final_report.json","passed; decision_path_audit_passed","e56_audit.py","test_effect_binding_guard_e56_audit.py","OK","Exact; targeted tests pass","No action"
C22,"abstract.tex:6; table6_audit_validity.tex:12","E56 strict label-hidden replay passed","audit/validity","audit/analysis/results/e56_final_report.json","strict_mode_passed; sanity.label_hidden_replay.metrics_equal","e56_audit.py","test_effect_binding_guard_e56_audit.py","OK","Exact; tests pass","No action"
C23,"results.tex:37; table6_audit_validity.tex:13","E57-v2 perturbation UPA delta 0 coverage delta 0 changed decisions 0","audit/validity","audit/analysis/results/e57_v2_validity_checks_report.json","perturbation","e57_validity_checks.py","test_effect_binding_guard_e57_validity.py","OK","Exact; tests pass","No action"
C24,"results.tex:37; table6_audit_validity.tex:14","E57-v2 reference authorizer agreements are 1.000","audit/validity","audit/analysis/results/e57_v2_validity_checks_report.json; e57_v2_reference_authorizer_agreement.json","reference_authorizer","reference_authorizer.py; e57_validity_checks.py","test_effect_binding_guard_e57_validity.py","OK","Exact","No action"
C25,"results.tex:37; table6_audit_validity.tex:16-17","E57 human audit 54/60 agreement 46/60 all checks 6/13/10 corrections","audit/human","audit/analysis/results/e57_human_audit_validation.json","decision_agreement; all_checks_true; corrected_label_subset","e55_human_corrected_sensitivity.py","human-audited packet artifact","OK","Correctly separated from deterministic agreement","No action"
C26,"failure_analysis.tex:13; limitations.tex:12-13","Human audit found corrections and does not perfectly confirm all labels/atoms","claim-boundary/audit","e57_human_audit_validation.json; e55_human_corrected_sensitivity.json","corrected_label_subset; writing_interpretation","e55_human_corrected_sensitivity.py","N/A","OK","Safe wording","Keep wording"
C27,"discussion.tex:10; abstract.tex:6","E55-v2 improvement is meaningful because coverage rises while UPA falls under strict labels","interpretation","audit/analysis/results/e55_v2_precommit_authz_results_strict.json","existing/authz overall metrics","run_e55.py; metrics.py","test_effect_binding_guard_e55_precommit_authz.py","OK","Supported under local controlled contract","Keep local-contract boundary"
C28,"limitations.tex; introduction.tex:27; discussion.tex:13","No production safety complete permission system original benchmark reproduction or deployment generalization claim","claim-boundary","method_materials/writing_package_e58/08_claim_boundary.md; limitation text","N/A","N/A","N/A","OK","Overclaim scan found prohibited terms only in negated/boundary contexts","Keep boundary language"
C29,"related_work.tex; references.bib","Related-work positioning for ToolEmu AgentDojo ToolSafe Safiron CaMeL IPIGuard Progent MiniScope","related work","references.bib; paper_rewriting_output/reference_materials/source_index.md","bib entries","N/A","N/A","OK","Bibliographic not experiment-code claim","No action"
C30,"ethics_artifact_scope.tex","Experiments avoid real external side effects","ethics/scope","claim-boundary files; E55 local mock contract","N/A","mock_tools.py; dataset_builder.py","test_effect_binding_guard_e55_precommit_authz.py","OK","Consistent with local mock tools","No action"
